IndexLabel,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,team_name
2023-08-11 00:00:00,17.0,92.0,15.7,17.4,0.0,0.0,0.0,0.0,3.0,1018.5,1017.4,90.0,0.0,100.0,99.0,0.0,0.15,11.3,23.2,202.0,208.0,22.7,18.5,brighton
2023-08-11 01:00:00,17.5,91.0,16.1,18.0,0.0,0.0,0.0,0.0,3.0,1018.2,1017.1,98.0,74.0,2.0,100.0,0.0,0.18,11.6,22.7,210.0,213.0,19.8,18.3,brighton
2023-08-11 02:00:00,17.9,91.0,16.3,18.3,0.0,0.0,0.0,0.0,3.0,1017.7,1016.6,100.0,100.0,0.0,97.0,0.0,0.19,12.6,24.0,211.0,216.0,21.2,18.1,brighton
2023-08-11 03:00:00,18.8,87.0,16.5,18.8,0.0,0.0,0.0,0.0,3.0,1017.4,1016.3,100.0,100.0,0.0,100.0,0.01,0.29,15.4,26.2,213.0,217.0,27.0,18.3,brighton
2023-08-11 04:00:00,18.8,89.0,16.9,19.2,0.0,0.0,0.0,0.0,3.0,1017.0,1015.9,100.0,100.0,0.0,100.0,0.01,0.25,14.6,24.9,213.0,217.0,27.4,18.4,brighton
2023-08-11 05:00:00,19.0,90.0,17.3,19.4,0.0,0.0,0.0,0.0,2.0,1017.1,1016.0,72.0,38.0,13.0,100.0,0.03,0.22,15.1,25.5,220.0,224.0,26.6,18.4,brighton
2023-08-11 06:00:00,19.1,90.0,17.4,19.4,0.0,0.0,0.0,0.0,3.0,1017.6,1016.5,100.0,97.0,100.0,96.0,0.04,0.23,16.6,24.7,222.0,224.0,31.0,18.6,brighton
2023-08-11 07:00:00,19.5,86.0,17.0,19.4,0.0,0.0,0.0,0.0,3.0,1017.9,1016.8,100.0,98.0,98.0,0.0,0.07,0.32,17.6,25.6,229.0,231.0,32.4,18.8,brighton
2023-08-11 08:00:00,20.0,82.0,16.8,19.8,0.0,0.0,0.0,0.0,2.0,1018.2,1017.1,70.0,32.0,69.0,0.0,0.1,0.42,17.9,25.5,236.0,237.0,33.5,19.1,brighton
2023-08-11 09:00:00,21.4,74.0,16.6,20.9,0.1,0.1,0.0,0.0,51.0,1018.1,1017.0,66.0,55.0,7.0,40.0,0.22,0.65,19.1,26.4,234.0,235.0,36.4,19.9,brighton
2023-08-11 10:00:00,22.8,67.0,16.2,22.3,0.0,0.0,0.0,0.0,3.0,1017.7,1016.6,83.0,58.0,1.0,100.0,0.36,0.93,18.9,25.4,231.0,231.0,37.1,21.0,brighton
2023-08-11 11:00:00,23.1,67.0,16.6,22.7,0.1,0.1,0.0,0.0,51.0,1017.7,1016.6,79.0,32.0,33.0,100.0,0.34,0.94,18.4,25.1,230.0,231.0,37.1,21.7,brighton
2023-08-11 12:00:00,23.5,62.0,15.9,22.7,0.4,0.4,0.0,0.0,51.0,1017.8,1016.7,100.0,45.0,59.0,100.0,0.33,1.09,19.6,26.8,229.0,230.0,43.2,22.1,brighton
2023-08-11 13:00:00,22.8,68.0,16.6,22.1,0.2,0.2,0.0,0.0,51.0,1017.7,1016.6,68.0,23.0,29.0,100.0,0.33,0.89,21.2,29.2,220.0,219.0,41.0,22.4,brighton
2023-08-11 14:00:00,22.8,70.0,16.9,22.2,0.3,0.3,0.0,0.0,51.0,1017.4,1016.3,63.0,29.0,11.0,100.0,0.32,0.84,21.0,29.2,218.0,218.0,40.7,22.4,brighton
2023-08-11 15:00:00,22.8,69.0,16.9,22.5,0.1,0.1,0.0,0.0,51.0,1017.2,1016.1,52.0,17.0,11.0,100.0,0.27,0.85,19.3,26.7,217.0,217.0,40.3,22.3,brighton
2023-08-11 16:00:00,22.8,69.0,16.7,22.3,0.1,0.1,0.0,0.0,51.0,1016.7,1015.6,37.0,8.0,0.0,100.0,0.26,0.87,19.3,27.1,209.0,210.0,36.7,22.3,brighton
2023-08-11 17:00:00,22.0,69.0,16.1,21.3,0.0,0.0,0.0,0.0,1.0,1016.5,1015.4,37.0,8.0,0.0,100.0,0.21,0.82,19.7,27.9,208.0,210.0,37.8,22.1,brighton
2023-08-11 18:00:00,20.9,73.0,15.8,20.4,0.0,0.0,0.0,0.0,1.0,1016.3,1015.2,31.0,1.0,0.0,100.0,0.15,0.68,17.8,26.6,212.0,213.0,36.7,21.6,brighton
2023-08-11 19:00:00,19.4,79.0,15.6,19.1,0.0,0.0,0.0,0.0,1.0,1016.4,1015.3,30.0,0.0,0.0,100.0,0.07,0.47,15.1,26.0,208.0,211.0,31.7,20.8,brighton
2023-08-11 20:00:00,18.1,82.0,15.0,17.7,0.0,0.0,0.0,0.0,1.0,1016.6,1015.5,32.0,0.0,5.0,98.0,0.04,0.37,13.9,25.5,211.0,216.0,27.0,20.0,brighton
2023-08-11 21:00:00,17.1,85.0,14.5,17.0,0.0,0.0,0.0,0.0,1.0,1016.6,1015.5,34.0,0.0,13.0,88.0,0.01,0.3,11.6,23.0,216.0,221.0,24.1,19.2,brighton
2023-08-11 22:00:00,16.4,89.0,14.5,16.2,0.0,0.0,0.0,0.0,1.0,1016.5,1015.4,40.0,0.0,16.0,100.0,0.0,0.21,11.3,22.4,207.0,213.0,19.8,18.6,brighton
2023-08-11 23:00:00,16.0,91.0,14.5,16.0,0.0,0.0,0.0,0.0,2.0,1016.3,1015.2,61.0,0.0,51.0,100.0,0.0,0.17,10.8,21.4,210.0,216.0,19.4,18.1,brighton
2023-08-12 00:00:00,15.5,86.0,13.1,15.0,0.0,0.0,0.0,0.0,1.0,1016.0,1014.9,30.0,0.0,0.0,99.0,0.0,0.25,10.3,21.1,216.0,226.0,18.7,18.1,brighton
2023-08-12 01:00:00,15.0,88.0,13.0,14.5,0.0,0.0,0.0,0.0,1.0,1015.7,1014.6,30.0,0.0,0.0,100.0,0.0,0.21,10.2,20.7,225.0,231.0,18.0,17.5,brighton
2023-08-12 02:00:00,14.5,91.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,1015.5,1014.4,1.0,1.0,0.0,0.0,0.0,0.15,10.2,21.4,222.0,229.0,17.3,17.0,brighton
2023-08-12 03:00:00,13.9,94.0,13.0,13.1,0.0,0.0,0.0,0.0,1.0,1015.5,1014.4,21.0,23.0,0.0,0.0,0.0,0.1,12.2,24.5,223.0,229.0,21.2,16.5,brighton
2023-08-12 04:00:00,14.0,96.0,13.3,13.3,0.0,0.0,0.0,0.0,1.0,1014.9,1013.8,31.0,33.0,3.0,0.0,0.0,0.07,12.0,23.2,219.0,226.0,22.0,16.2,brighton
2023-08-12 05:00:00,14.3,95.0,13.4,13.7,0.0,0.0,0.0,0.0,0.0,1014.5,1013.4,5.0,2.0,5.0,0.0,0.02,0.09,11.9,23.8,209.0,215.0,20.9,16.0,brighton
2023-08-12 06:00:00,15.4,90.0,13.7,14.2,0.0,0.0,0.0,0.0,0.0,1014.4,1013.3,13.0,7.0,11.0,0.0,0.03,0.18,16.6,27.3,210.0,214.0,27.4,16.1,brighton
2023-08-12 07:00:00,17.3,80.0,13.9,15.6,0.0,0.0,0.0,0.0,1.0,1014.4,1013.3,48.0,41.0,5.0,27.0,0.11,0.39,20.2,29.4,219.0,220.0,36.0,16.8,brighton
