IndexLabel,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,team_name
2023-08-11T00:00:00,17.1,95,16.3,16.7,0,0,0,0,1,1016.2,1004.2,24,14,8,22,0,0.1,18.2,31.6,198,201,31.7,19.5,bournemouth
2023-08-11T01:00:00,16.6,96,16,16.1,0,0,0,0,2,1015.8,1003.8,72,74,9,1,0,0.08,17.7,31.2,200,202,32.4,18.7,bournemouth
2023-08-11T02:00:00,16.9,95,16.1,16.4,0,0,0,0,3,1015.5,1003.5,91,100,0,2,0,0.09,18.1,31.2,203,206,33.1,18.3,bournemouth
2023-08-11T03:00:00,17.7,93,16.6,17.4,0,0,0,0,3,1015.2,1003.2,98,100,0,26,0,0.14,18,30,209,210,36.4,18.2,bournemouth
2023-08-11T04:00:00,17.9,94,16.9,17.8,0,0,0,0,3,1015.2,1003.3,100,100,0,64,0,0.13,17.6,29.1,215,216,32.4,18.2,bournemouth
2023-08-11T05:00:00,18,92,16.7,17.7,0,0,0,0,3,1015.5,1003.5,100,100,0,59,0.03,0.16,18.3,29.3,227,228,33.5,18.2,bournemouth
2023-08-11T06:00:00,17.7,89,15.9,17.2,0,0,0,0,2,1015.8,1003.8,64,61,0,32,0.04,0.22,17.6,26.4,229,231,34.2,18.2,bournemouth
2023-08-11T07:00:00,17.7,84,14.9,16.5,0,0,0,0,2,1016.3,1004.3,71,46,1,98,0.1,0.33,19.3,28.7,241,242,36.7,18.3,bournemouth
2023-08-11T08:00:00,18.3,79,14.5,16.9,0,0,0,0,2,1016.5,1004.6,57,30,0,99,0.16,0.45,19.9,28.5,238,238,38.2,18.7,bournemouth
2023-08-11T09:00:00,19.4,71,13.9,17.8,0,0,0,0,2,1016.5,1004.6,53,30,0,86,0.25,0.67,20.2,28.3,230,230,40,19.4,bournemouth
2023-08-11T10:00:00,20.6,64,13.5,19.1,0,0,0,0,1,1016.2,1004.3,33,7,1,88,0.36,0.88,19.6,27.2,224,224,40,20.4,bournemouth
2023-08-11T11:00:00,21.3,61,13.5,20,0,0,0,0,1,1016.2,1004.4,48,26,13,57,0.41,0.99,20.9,29,224,224,41.4,21.3,bournemouth
2023-08-11T12:00:00,22.6,54,12.8,20.9,0,0,0,0,2,1016.3,1004.5,66,35,15,84,0.46,1.26,22.4,30.5,225,225,45.4,22.2,bournemouth
2023-08-11T13:00:00,22.4,54,12.6,20.5,0,0,0,0,1,1016,1004.2,48,16,16,79,0.42,1.25,21.2,29.6,222,222,43.9,22.4,bournemouth
2023-08-11T14:00:00,22.8,51,12.1,20.7,0,0,0,0,1,1015.7,1003.9,38,23,12,35,0.47,1.36,24.4,34.6,224,224,47.5,22.9,bournemouth
2023-08-11T15:00:00,22.5,51,11.9,19.7,0,0,0,0,1,1015.5,1003.7,44,29,2,56,0.42,1.33,25.7,36.9,224,225,49,22.9,bournemouth
2023-08-11T16:00:00,22,52,11.8,19,0,0,0,0,1,1015.2,1003.4,23,5,13,36,0.36,1.26,24.2,34.6,224,225,49.3,22.6,bournemouth
2023-08-11T17:00:00,21.7,51,11.2,18.8,0,0,0,0,1,1014.9,1003.1,20,10,7,24,0.3,1.27,22.2,33.5,230,230,46.1,22.2,bournemouth
2023-08-11T18:00:00,20.8,58,12.2,19,0,0,0,0,1,1014.6,1002.8,22,3,4,57,0.2,1.04,17.6,29.3,224,225,41.4,21.5,bournemouth
2023-08-11T19:00:00,19.5,64,12.6,18,0,0,0,0,1,1014.7,1002.8,33,2,2,100,0.11,0.81,16.3,28.3,225,227,32.8,20.6,bournemouth
2023-08-11T20:00:00,18.3,69,12.5,16.9,0,0,0,0,0,1014.7,1002.8,10,0,9,16,0.07,0.66,15.3,27.8,227,229,29.2,19.7,bournemouth
2023-08-11T21:00:00,17.2,74,12.5,15.7,0,0,0,0,0,1014.7,1002.7,2,2,0,0,0.04,0.51,16,28.8,224,228,28.4,18.9,bournemouth
