IndexLabel,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,team_name
2023-08-11T00:00:00,18,90,16.4,17.3,0.1,0.1,0,0,51,1018.5,1014.2,100,100,2,100,0.01,0.2,19.9,32.2,200,204,32.8,18.3,brentford
2023-08-11T01:00:00,18.3,92,17,17.5,0,0,0,0,3,1018.2,1013.9,100,100,0,100,0.01,0.16,22.1,34.9,214,217,38.5,18.3,brentford
2023-08-11T02:00:00,18.1,95,17.3,17.8,0.1,0.1,0,0,51,1018,1013.7,100,100,0,100,0,0.1,19.9,31.7,229,234,37.8,18.2,brentford
2023-08-11T03:00:00,17.6,96,17,17.7,0,0,0,0,3,1017.9,1013.6,100,93,83,100,0,0.07,16.5,27.4,234,237,34.2,18.1,brentford
2023-08-11T04:00:00,17.6,96,16.9,17.7,0,0,0,0,3,1017.9,1013.6,100,94,64,92,0,0.08,16,26.4,234,238,28.4,18,brentford
2023-08-11T05:00:00,17.5,97,16.9,17.6,0,0,0,0,3,1018,1013.7,100,100,32,2,0,0.07,15.4,25.4,233,235,27.4,17.9,brentford
2023-08-11T06:00:00,17.5,96,16.9,17.5,0,0,0,0,3,1018.3,1014,100,100,3,97,0.02,0.07,16.4,26.9,230,235,28.1,17.9,brentford
2023-08-11T07:00:00,17.9,95,17,18.1,0,0,0,0,3,1018.5,1014.2,100,90,23,56,0.04,0.11,15.4,22.3,233,236,28.8,18,brentford
2023-08-11T08:00:00,19,89,17.1,19.3,0,0,0,0,3,1018.6,1014.3,100,100,5,71,0.1,0.25,14.8,21,229,232,30.6,18.7,brentford
2023-08-11T09:00:00,19,88,17,19.3,0,0,0,0,3,1018.5,1014.2,100,100,1,100,0.13,0.26,14.6,19.6,220,224,27.7,19.3,brentford
2023-08-11T10:00:00,18.9,90,17.2,19,0,0,0,0,3,1018.7,1014.4,100,100,1,100,0.12,0.22,16.7,22,217,220,31.7,19.6,brentford
2023-08-11T11:00:00,19.4,87,17.2,19.1,0,0,0,0,2,1018.7,1014.4,77,53,0,99,0.18,0.29,18.8,24.8,227,229,35.6,20.1,brentford
2023-08-11T12:00:00,20.2,81,16.9,20,0,0,0,0,2,1018.8,1014.5,53,26,0,100,0.31,0.44,19.4,25.5,220,225,42.5,21.1,brentford
2023-08-11T13:00:00,19.9,83,17,19.7,0,0,0,0,1,1018.7,1014.4,37,8,0,100,0.31,0.39,20.6,26.8,216,220,40,21.8,brentford
2023-08-11T14:00:00,19.9,79,16.1,19.1,0,0,0,0,1,1018.5,1014.2,44,16,0,100,0.32,0.49,21.1,27.8,224,228,41.4,22.2,brentford
2023-08-11T15:00:00,19.8,78,15.9,18.7,0,0,0,0,1,1018.1,1013.8,32,2,0,100,0.28,0.5,20.9,27.8,226,229,41,22.2,brentford
2023-08-11T16:00:00,19.4,80,15.8,18.3,0,0,0,0,1,1018,1013.7,36,7,0,99,0.26,0.46,21.4,28.8,224,226,41,22.1,brentford
2023-08-11T17:00:00,18.6,84,15.9,17.6,0,0,0,0,1,1017.6,1013.3,34,6,0,96,0.19,0.34,20.4,27.5,221,223,41,21.7,brentford
2023-08-11T18:00:00,17.7,86,15.4,16.9,0,0,0,0,1,1017.3,1013,26,3,0,79,0.11,0.28,17.9,24.5,220,223,38.2,20.8,brentford
2023-08-11T19:00:00,17,85,14.5,16.2,0,0,0,0,0,1017.2,1012.9,14,0,4,37,0.06,0.29,15.5,24.1,228,231,32.8,19.8,brentford
2023-08-11T20:00:00,16.1,88,14.1,15.2,0,0,0,0,0,1017.3,1013,16,0,1,53,0.03,0.23,15,26.1,228,232,26.6,18.7,brentford
2023-08-11T21:00:00,15.9,90,14.3,15,0,0,0,0,3,1017.2,1012.9,89,2,96,100,0.01,0.18,15.5,26.1,228,231,26.6,17.9,brentford
2023-08-11T22:00:00,16.2,89,14.4,15.4,0,0,0,0,1,1016.9,1012.6,29,0,0,96,0.01,0.2,15.1,24.7,230,233,27,17.5,brentford
2023-08-11T23:00:00,15.9,89,14.1,15,0,0,0,0,1,1016.8,1012.5,34,5,0,100,0.01,0.2,15,25.7,228,233,25.6,17.1,brentford
2023-08-12T00:00:00,15.6,92,14.2,14.4,0,0,0,0,3,1016.8,1012.5,90,100,0,1,0,0.15,17.5,28.1,233,237,27,16.9,brentford
2023-08-12T01:00:00,16.2,89,14.3,15.1,0,0,0,0,3,1016.4,1012.1,84,93,0,0,0.01,0.21,17.1,26.9,229,231,29.9,16.8,brentford
2023-08-12T02:00:00,16.2,89,14.3,14.9,0,0,0,0,1,1016,1011.7,24,26,1,0,0.01,0.21,18.6,29.1,226,228,31.3,16.8,brentford
2023-08-12T03:00:00,15.8,91,14.3,14.4,0,0,0,0,0,1015.6,1011.3,13,14,1,0,0.01,0.17,19.4,31.1,222,224,33.1,16.5,brentford
2023-08-12T04:00:00,15.9,89,14.1,14.2,0,0,0,0,1,1015,1010.7,20,16,10,0,0.01,0.2,20.6,32.8,223,225,34.6,16.3,brentford
2023-08-12T05:00:00,16.3,86,13.9,14.2,0,0,0,0,1,1014.6,1010.3,30,10,35,0,0.02,0.26,22.9,35.7,228,229,38.9,16.3,brentford
2023-08-12T06:00:00,16.7,82,13.7,14.3,0,0,0,0,2,1014.5,1010.2,52,34,34,5,0.06,0.34,24.7,37.7,222,224,42.5,16.5,brentford
2023-08-12T07:00:00,17.5,78,13.7,14.8,0,0,0,0,2,1014.6,1010.3,67,34,61,0,0.1,0.43,26,37.7,226,227,45.7,17,brentford
2023-08-12T08:00:00,17.9,75,13.4,14.7,0,0,0,0,3,1014.4,1010.1,84,39,81,0,0.16,0.51,29.1,40.7,229,230,51.1,17.6,brentford
