IndexLabel,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,team_name
2023-08-11T00:00:00,19.1,89,17.2,19.5,0,0,0,0,1,1014.3,1007.6,29,19,20,0,0.01,0.24,14.8,28,184,187,26.3,19.7,manchester united
2023-08-11T01:00:00,18.5,91,17.1,19.1,0,0,0,0,1,1014.3,1007.6,49,8,69,0,0,0.19,13,24.7,180,188,24.8,19.1,manchester united
2023-08-11T02:00:00,17.9,94,16.8,18.2,0,0,0,0,3,1013.8,1007,100,100,37,0,0,0.13,14.4,26.6,177,182,24.1,18.6,manchester united
2023-08-11T03:00:00,18.3,89,16.4,18,0,0,0,0,3,1013.6,1006.9,100,100,19,0,0.01,0.24,17.5,28.9,189,194,29.5,18.5,manchester united
2023-08-11T04:00:00,18.4,87,16.2,17.9,0,0,0,0,2,1013.7,1007,76,83,0,6,0.02,0.27,17.5,29,199,203,31,18.4,manchester united
2023-08-11T05:00:00,17.9,89,16,17.6,0,0,0,0,1,1014,1007.2,30,33,1,0,0.03,0.23,16.3,27.6,208,211,30.2,18.1,manchester united
2023-08-11T06:00:00,17.5,89,15.8,16.9,0.2,0.2,0,0,51,1014.7,1007.9,65,68,6,0,0.04,0.21,17.4,27.4,236,237,28.8,17.9,manchester united
2023-08-11T07:00:00,17.3,82,14.2,16.5,0.1,0.1,0,0,51,1015,1008.2,17,19,0,0,0.09,0.36,14.9,20.2,238,239,31.3,18,manchester united
2023-08-11T08:00:00,18,77,14,17,0,0,0,0,1,1015.2,1008.4,22,24,0,0,0.18,0.47,16,21.4,224,225,29.5,18.4,manchester united
2023-08-11T09:00:00,18.9,71,13.6,17.4,0,0,0,0,2,1015,1008.3,63,69,1,0,0.25,0.63,18.3,24.7,223,223,34.2,19.1,manchester united
2023-08-11T10:00:00,19.7,66,13.2,18,0,0,0,0,3,1014.9,1008.2,88,97,2,0,0.28,0.78,18.1,24.5,223,223,34.6,19.7,manchester united
2023-08-11T11:00:00,20.4,62,12.9,18.6,0,0,0,0,2,1014.8,1008.1,55,52,14,0,0.29,0.91,18.4,25,222,221,33.8,20.1,manchester united
2023-08-11T12:00:00,21.4,57,12.5,19.2,0,0,0,0,2,1015,1008.3,52,45,14,12,0.39,1.09,21.9,29.5,224,223,38.9,20.6,manchester united
2023-08-11T13:00:00,21.8,54,12.2,19.7,0,0,0,0,1,1014.7,1008,35,12,40,0,0.42,1.2,22,29.5,215,215,41.4,21.1,manchester united
2023-08-11T14:00:00,21.9,53,11.9,19.1,0,0,0,0,2,1014.3,1007.6,56,24,52,9,0.39,1.23,23.8,33.3,218,219,42.5,21.4,manchester united
2023-08-11T15:00:00,21.5,55,12.2,18.8,0,0,0,0,1,1014.1,1007.4,27,8,19,29,0.35,1.15,22.9,32.6,224,223,42.5,21.3,manchester united
2023-08-11T16:00:00,21.7,52,11.5,19,0,0,0,0,1,1013.6,1006.9,27,6,28,15,0.35,1.24,21.9,30.3,224,224,42.1,21.3,manchester united
2023-08-11T17:00:00,21.3,55,11.8,19.2,0,0,0,0,1,1013.4,1006.7,42,22,31,11,0.27,1.15,18.2,28.1,219,221,39.2,21,manchester united
2023-08-11T18:00:00,20.2,60,12.2,18.5,0,0,0,0,1,1013.1,1006.4,21,3,25,10,0.18,0.95,16.2,27.5,212,214,31.7,20.5,manchester united
2023-08-11T19:00:00,19,63,11.8,17,0,0,0,0,1,1013.2,1006.5,22,5,20,20,0.11,0.81,17.4,30.8,207,210,29.5,19.8,manchester united
2023-08-11T20:00:00,17.9,67,11.6,16.2,0,0,0,0,0,1013.2,1006.4,16,1,26,0,0.07,0.69,15,27.7,201,206,29.9,19,manchester united
2023-08-11T21:00:00,16.9,72,11.9,15.5,0,0,0,0,0,1013,1006.2,3,0,5,0,0.04,0.54,13.4,26.8,194,200,25.2,18.3,manchester united
2023-08-11T22:00:00,16.1,77,12.1,14.7,0,0,0,0,0,1012.8,1006,5,0,8,0,0.03,0.42,13.8,27.5,189,194,23.4,17.6,manchester united
2023-08-11T23:00:00,15.7,78,11.9,14,0,0,0,0,1,1012.5,1005.7,24,2,37,0,0.03,0.38,15.1,28.9,183,191,25.6,17.1,manchester united
2023-08-12T00:00:00,15.4,80,12,13.9,0,0,0,0,1,1012.5,1005.7,29,2,45,0,0.02,0.35,14.8,28.2,184,190,26.3,17.1,manchester united
