IndexLabel,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,team_name
2023-08-11 00:00:00,19.2,89.0,17.4,19.7,0.0,0.0,0.0,0.0,1.0,1014.3,1010.3,29.0,19.0,20.0,0.0,0.01,0.24,14.8,28.0,184.0,187.0,26.3,19.9,newcastle united
2023-08-11 01:00:00,18.7,91.0,17.2,19.3,0.0,0.0,0.0,0.0,1.0,1014.3,1010.3,49.0,8.0,69.0,0.0,0.0,0.19,13.0,24.7,180.0,188.0,24.8,19.3,newcastle united
2023-08-11 02:00:00,18.0,94.0,17.0,18.4,0.0,0.0,0.0,0.0,3.0,1013.8,1009.8,100.0,100.0,37.0,0.0,0.0,0.13,14.4,26.6,177.0,182.0,24.1,18.8,newcastle united
2023-08-11 03:00:00,18.5,89.0,16.6,18.2,0.0,0.0,0.0,0.0,3.0,1013.6,1009.6,100.0,100.0,19.0,0.0,0.01,0.24,17.5,28.9,189.0,194.0,29.5,18.6,newcastle united
2023-08-11 04:00:00,18.5,87.0,16.3,18.1,0.0,0.0,0.0,0.0,2.0,1013.7,1009.7,76.0,83.0,0.0,6.0,0.02,0.28,17.5,29.0,199.0,203.0,31.0,18.5,newcastle united
2023-08-11 05:00:00,18.0,89.0,16.2,17.8,0.0,0.0,0.0,0.0,1.0,1014.0,1010.0,30.0,33.0,1.0,0.0,0.03,0.23,16.3,27.6,208.0,211.0,30.2,18.3,newcastle united
2023-08-11 06:00:00,17.7,89.0,15.9,17.2,0.2,0.2,0.0,0.0,51.0,1014.7,1010.7,65.0,68.0,6.0,0.0,0.04,0.21,17.4,27.4,236.0,237.0,28.8,18.1,newcastle united
2023-08-11 07:00:00,17.5,82.0,14.3,16.7,0.1,0.1,0.0,0.0,51.0,1015.0,1011.0,17.0,19.0,0.0,0.0,0.09,0.36,14.9,20.2,238.0,239.0,31.3,18.1,newcastle united
2023-08-11 08:00:00,18.2,77.0,14.2,17.2,0.0,0.0,0.0,0.0,1.0,1015.2,1011.2,22.0,24.0,0.0,0.0,0.18,0.47,16.0,21.4,224.0,225.0,29.5,18.6,newcastle united
2023-08-11 09:00:00,19.1,71.0,13.7,17.6,0.0,0.0,0.0,0.0,2.0,1015.0,1011.0,63.0,69.0,1.0,0.0,0.26,0.64,18.3,24.7,223.0,223.0,34.2,19.3,newcastle united
