IndexLabel,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,team_name
2023-08-11T00:00:00,19.3,89,17.5,19.8,0,0,0,0,1,1014.3,1012.2,29,19,20,0,0.01,0.25,14.8,28,184,187,26.3,20,nottingham forest
2023-08-11T01:00:00,18.8,91,17.3,19.5,0,0,0,0,1,1014.3,1012.2,49,8,69,0,0,0.19,13,24.7,180,188,24.8,19.4,nottingham forest
2023-08-11T02:00:00,18.1,94,17.1,18.5,0,0,0,0,3,1013.8,1011.7,100,100,37,0,0,0.13,14.4,26.6,177,182,24.1,18.9,nottingham forest
2023-08-11T03:00:00,18.6,89,16.7,18.3,0,0,0,0,3,1013.6,1011.5,100,100,19,0,0.01,0.24,17.5,28.9,189,194,29.5,18.7,nottingham forest
2023-08-11T04:00:00,18.6,87,16.4,18.3,0,0,0,0,2,1013.7,1011.6,76,83,0,6,0.02,0.28,17.5,29,199,203,31,18.6,nottingham forest
2023-08-11T05:00:00,18.1,89,16.3,17.9,0,0,0,0,1,1014,1011.9,30,33,1,0,0.03,0.23,16.3,27.6,208,211,30.2,18.4,nottingham forest
2023-08-11T06:00:00,17.8,89,16,17.3,0.2,0.2,0,0,51,1014.7,1012.6,65,68,6,0,0.04,0.21,17.4,27.4,236,237,28.8,18.2,nottingham forest
2023-08-11T07:00:00,17.6,82,14.4,16.8,0.1,0.1,0,0,51,1015,1012.9,17,19,0,0,0.09,0.37,14.9,20.2,238,239,31.3,18.2,nottingham forest
2023-08-11T08:00:00,18.3,78,14.3,17.3,0,0,0,0,1,1015.2,1013.1,22,24,0,0,0.18,0.47,16,21.4,224,225,29.5,18.7,nottingham forest
2023-08-11T09:00:00,19.2,71,13.8,17.7,0,0,0,0,2,1015,1012.9,63,69,1,0,0.26,0.64,18.3,24.7,223,223,34.2,19.4,nottingham forest
2023-08-11T10:00:00,19.9,66,13.4,18.4,0,0,0,0,3,1014.9,1012.8,88,97,2,0,0.29,0.79,18.1,24.5,223,223,34.6,19.9,nottingham forest
2023-08-11T11:00:00,20.7,62,13.1,19,0,0,0,0,2,1014.8,1012.7,55,52,14,0,0.3,0.93,18.4,25,222,221,33.8,20.3,nottingham forest
2023-08-11T12:00:00,21.6,57,12.8,19.6,0,0,0,0,2,1015,1012.9,52,45,14,12,0.39,1.11,21.9,29.5,224,223,38.9,20.8,nottingham forest
2023-08-11T13:00:00,22.1,54,12.4,20.1,0,0,0,0,1,1014.7,1012.6,35,12,40,0,0.42,1.21,22,29.5,215,215,41.4,21.4,nottingham forest
2023-08-11T14:00:00,22.1,53,12.2,19.4,0,0,0,0,2,1014.3,1012.2,56,24,52,9,0.4,1.24,23.8,33.3,218,219,42.5,21.6,nottingham forest
2023-08-11T15:00:00,21.8,55,12.4,19.2,0,0,0,0,1,1014.1,1012,27,8,19,29,0.35,1.16,22.9,32.6,224,223,42.5,21.6,nottingham forest
2023-08-11T16:00:00,22,52,11.7,19.3,0,0,0,0,1,1013.6,1011.5,27,6,28,15,0.35,1.26,21.9,30.3,224,224,42.1,21.6,nottingham forest
2023-08-11T17:00:00,21.6,55,12.1,19.6,0,0,0,0,1,1013.4,1011.3,42,22,31,11,0.27,1.17,18.2,28.1,219,221,39.2,21.3,nottingham forest
2023-08-11T18:00:00,20.5,60,12.4,18.9,0,0,0,0,1,1013.1,1011,21,3,25,10,0.18,0.96,16.2,27.5,212,214,31.7,20.8,nottingham forest
2023-08-11T19:00:00,19.2,63,12.1,17.3,0,0,0,0,1,1013.2,1011.1,22,5,20,20,0.12,0.82,17.4,30.8,207,210,29.5,20,nottingham forest
2023-08-11T20:00:00,18.2,67,11.9,16.5,0,0,0,0,0,1013.2,1011.1,16,1,26,0,0.07,0.7,15,27.7,201,206,29.9,19.3,nottingham forest
2023-08-11T21:00:00,17.2,72,12.1,15.9,0,0,0,0,0,1013,1010.9,3,0,5,0,0.04,0.54,13.4,26.8,194,200,25.2,18.5,nottingham forest
2023-08-11T22:00:00,16.4,77,12.4,15.1,0,0,0,0,0,1012.8,1010.7,5,0,8,0,0.03,0.42,13.8,27.5,189,194,23.4,17.9,nottingham forest
2023-08-11T23:00:00,15.9,78,12.2,14.4,0,0,0,0,1,1012.5,1010.3,24,2,37,0,0.03,0.39,15.1,28.9,183,191,25.6,17.4,nottingham forest
2023-08-12T00:00:00,15.7,80,12.2,14.2,0,0,0,0,1,1012.5,1010.3,29,2,45,0,0.02,0.36,14.8,28.2,184,190,26.3,17.3,nottingham forest
2023-08-12T01:00:00,15.5,81,12.2,13.8,0,0,0,0,1,1012.2,1010,47,3,73,0,0.02,0.33,15.9,28.7,183,188,26.6,17,nottingham forest
2023-08-12T02:00:00,15.3,83,12.4,13.6,0,0,0,0,1,1011.6,1009.4,35,9,45,0,0.02,0.3,16.2,28.9,179,185,27.7,16.7,nottingham forest
2023-08-12T03:00:00,15.2,84,12.6,13.8,0,0,0,0,1,1011,1008.8,38,11,47,0,0.02,0.27,15.5,27.9,180,187,27.7,16.5,nottingham forest
2023-08-12T04:00:00,15.1,85,12.6,13.6,0,0,0,0,1,1010.4,1008.2,37,14,39,2,0.02,0.26,15.9,28.5,176,183,27,16.3,nottingham forest
2023-08-12T05:00:00,15,86,12.7,13.4,0,0,0,0,1,1010,1007.8,45,17,46,6,0.03,0.24,16.4,28.8,171,179,27.7,16.1,nottingham forest
2023-08-12T06:00:00,15.7,85,13.1,14,0.1,0.1,0,0,51,1009.7,1007.6,83,48,56,22,0.04,0.28,18.2,30.3,171,177,31.3,16.2,nottingham forest
2023-08-12T07:00:00,16.7,80,13.3,14.5,0,0,0,0,3,1009.4,1007.3,100,55,90,0,0.09,0.37,22,32.5,184,185,40,16.5,nottingham forest
2023-08-12T08:00:00,17.5,76,13.3,15.6,0.1,0.1,0,0,51,1009,1006.9,75,24,89,0,0.13,0.47,20.6,30,185,186,37.8,17,nottingham forest
2023-08-12T09:00:00,18.6,73,13.7,16.2,0.2,0.2,0,0,51,1008.7,1006.6,91,34,100,0,0.2,0.58,24.9,36.1,194,194,48.2,17.6,nottingham forest
2023-08-12T10:00:00,18.8,74,14.2,17,0.1,0.1,0,0,51,1008.5,1006.4,100,95,91,29,0.16,0.56,21.6,31.8,198,200,45.7,17.9,nottingham forest
2023-08-12T11:00:00,18.3,77,14.2,15.8,1.2,1.2,0,0,55,1008.4,1006.3,99,42,79,45,0.2,0.48,26.4,38.5,215,215,48.2,18.4,nottingham forest
