IndexLabel,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,team_name
2023-08-11T00:00:00,19.1,87,16.9,19.3,0,0,0,0,1,1014.7,1005.7,24,1,39,0,0.01,0.29,15.1,27.6,192,197,28.1,19.6,west ham united
2023-08-11T01:00:00,18.4,90,16.7,18.2,0,0,0,0,1,1014.7,1005.7,34,29,13,0,0.01,0.21,17,29.8,201,205,29.9,19.1,west ham united
2023-08-11T02:00:00,18.2,91,16.7,17.8,0,0,0,0,3,1014.3,1005.3,100,100,26,0,0.01,0.19,18.2,30.3,205,208,32,18.7,west ham united
2023-08-11T03:00:00,17.7,91,16.3,17.2,0,0,0,0,1,1013.9,1004.9,46,51,1,0,0.01,0.18,18,30.8,209,213,32.4,18.4,west ham united
2023-08-11T04:00:00,17.8,89,16,17,0,0,0,0,3,1013.8,1004.8,94,100,0,13,0.01,0.22,19.3,31.9,217,220,33.8,18.2,west ham united
2023-08-11T05:00:00,18,89,16.1,17.2,0,0,0,0,1,1013.9,1004.9,41,46,0,0,0.04,0.23,19.6,32.4,224,228,34.9,18,west ham united
2023-08-11T06:00:00,18.5,85,16,17.7,0,0,0,0,0,1014.3,1005.3,7,8,0,0,0.05,0.32,19.6,31.2,227,231,34.9,18.1,west ham united
2023-08-11T07:00:00,18.9,81,15.5,17.8,0,0,0,0,0,1014.5,1005.5,6,7,0,0,0.11,0.42,19.6,28.6,234,236,35.6,18.4,west ham united
2023-08-11T08:00:00,19,73,14,17.4,0,0,0,0,0,1015,1006,14,12,0,10,0.19,0.6,20.1,28.5,241,242,38.2,18.8,west ham united
2023-08-11T09:00:00,19.3,70,13.6,17.8,0,0,0,0,0,1015.1,1006.1,19,10,0,32,0.27,0.68,18.5,25.1,233,235,37.8,19.4,west ham united
