IndexLabel,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,team_name
2023-08-11 00:00:00,17.7,85.0,15.2,17.3,0.0,0.0,0.0,0.0,1.0,1018.5,1016.9,36.0,0.0,10.0,99.0,0.01,0.3,14.2,26.4,210.0,215.0,25.9,18.7,wolverhampton wanderers
2023-08-11 01:00:00,17.1,91.0,15.7,17.1,0.0,0.0,0.0,0.0,1.0,1018.1,1016.5,48.0,0.0,30.0,100.0,0.0,0.17,12.9,25.6,210.0,215.0,24.8,18.3,wolverhampton wanderers
2023-08-11 02:00:00,17.3,93.0,16.1,17.3,0.0,0.0,0.0,0.0,3.0,1017.7,1016.1,100.0,100.0,0.0,93.0,0.0,0.15,14.4,27.3,217.0,221.0,27.0,18.0,wolverhampton wanderers
2023-08-11 03:00:00,18.3,89.0,16.5,18.5,0.0,0.0,0.0,0.0,3.0,1017.4,1015.9,100.0,100.0,0.0,100.0,0.01,0.23,14.4,25.3,217.0,221.0,26.3,18.2,wolverhampton wanderers
2023-08-11 04:00:00,18.6,89.0,16.7,18.7,0.0,0.0,0.0,0.0,3.0,1017.0,1015.5,100.0,100.0,0.0,100.0,0.01,0.24,15.7,26.8,212.0,216.0,28.4,18.2,wolverhampton wanderers
2023-08-11 05:00:00,18.8,90.0,17.2,19.1,0.0,0.0,0.0,0.0,3.0,1017.1,1015.6,100.0,100.0,0.0,100.0,0.03,0.21,15.0,25.6,215.0,219.0,28.4,18.3,wolverhampton wanderers
2023-08-11 06:00:00,19.2,90.0,17.6,19.6,0.0,0.0,0.0,0.0,3.0,1017.5,1016.0,100.0,93.0,88.0,94.0,0.04,0.21,15.5,25.7,222.0,226.0,28.4,18.5,wolverhampton wanderers
2023-08-11 07:00:00,19.8,86.0,17.3,19.6,0.0,0.0,0.0,0.0,3.0,1017.7,1016.2,100.0,89.0,97.0,0.0,0.09,0.33,19.2,27.7,230.0,232.0,36.7,18.8,wolverhampton wanderers
2023-08-11 08:00:00,20.0,82.0,16.9,19.7,0.0,0.0,0.0,0.0,3.0,1018.1,1016.6,86.0,30.0,98.0,0.0,0.1,0.41,19.1,27.5,234.0,236.0,36.7,19.1,wolverhampton wanderers
2023-08-11 09:00:00,20.7,79.0,16.9,20.5,0.0,0.0,0.0,0.0,1.0,1018.0,1016.5,22.0,17.0,0.0,23.0,0.15,0.52,18.5,26.3,233.0,234.0,38.2,19.5,wolverhampton wanderers
2023-08-11 10:00:00,22.8,67.0,16.4,22.4,0.0,0.0,0.0,0.0,2.0,1017.7,1016.2,58.0,31.0,2.0,98.0,0.37,0.91,19.7,26.9,232.0,232.0,40.7,20.7,wolverhampton wanderers
2023-08-11 11:00:00,23.5,64.0,16.3,23.0,0.0,0.0,0.0,0.0,3.0,1017.6,1016.1,100.0,96.0,8.0,100.0,0.41,1.03,21.2,28.9,228.0,230.0,42.1,21.6,wolverhampton wanderers
